"GEOID","NAME","med_income_E","med_income_M"
"06075022702","Census Tract 227.02, San Francisco County, California",101771,12139
"06075022801","Census Tract 228.01, San Francisco County, California",51429,18241
"06075023103","Census Tract 231.03, San Francisco County, California",16474,6696
"06075025900","Census Tract 259, San Francisco County, California",38912,5358
"06075026003","Census Tract 260.03, San Francisco County, California",33083,5309
"06075011901","Census Tract 119.01, San Francisco County, California",58750,8649
"06075011902","Census Tract 119.02, San Francisco County, California",58510,12226
"06075012201","Census Tract 122.01, San Francisco County, California",52779,6201
"06075012202","Census Tract 122.02, San Francisco County, California",14791,5093
"06075012301","Census Tract 123.01, San Francisco County, California",21123,5607
"06075012302","Census Tract 123.02, San Francisco County, California",47368,8067
"06075012401","Census Tract 124.01, San Francisco County, California",24330,4180
"06075012402","Census Tract 124.02, San Francisco County, California",42357,10631
"06075012501","Census Tract 125.01, San Francisco County, California",21373,2343
"06075012502","Census Tract 125.02, San Francisco County, California",14562,2077
"06075012601","Census Tract 126.01, San Francisco County, California",114107,23114
"06075012901","Census Tract 129.01, San Francisco County, California",106277,7812
"06075012902","Census Tract 129.02, San Francisco County, California",83882,11592
"06075013101","Census Tract 131.01, San Francisco County, California",121169,10188
"06075013102","Census Tract 131.02, San Francisco County, California",94271,17779
"06075015801","Census Tract 158.01, San Francisco County, California",53571,16340
"06075015802","Census Tract 158.02, San Francisco County, California",73875,6092
"06075016801","Census Tract 168.01, San Francisco County, California",74588,8606
"06075016802","Census Tract 168.02, San Francisco County, California",79085,12923
"06075017101","Census Tract 171.01, San Francisco County, California",97370,8215
"06075017102","Census Tract 171.02, San Francisco County, California",82163,6491
"06075017801","Census Tract 178.01, San Francisco County, California",14391,1933
"06075012602","Census Tract 126.02, San Francisco County, California",106438,15455
"06075031302","Census Tract 313.02, San Francisco County, California",36460,3777
"06075032601","Census Tract 326.01, San Francisco County, California",46893,10595
"06075032602","Census Tract 326.02, San Francisco County, California",50683,4283
"06075032801","Census Tract 328.01, San Francisco County, California",40343,6131
"06075032802","Census Tract 328.02, San Francisco County, California",47683,7830
